# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 17
# Name = "SDSS i'"
# Description = "SDSS filter i' June 2001 from Jim Gunn "
# UCD = "PHOT_SDSS_I"
# Version = "1.0"
# DateCreated = 7/17/2003 5:11:15 PM
# DateModified = 7/22/2003 12:46:53 PM
# WavelengthMin = 6455
# WavelengthMax = 8605
# WavelengthEff = 7499.70417488596
# WavelengthScale = Linear
# EffectiveWidth = 1044.53697356814
# Unit = 
# Wavelength Value
6430 0
6455 9.99999974737875E-05
6480 0.000300000014249235
6505 0.00039999998989515
6530 0.00039999998989515
6555 0.000300000014249235
6580 0.000300000014249235
6605 0.00039999998989515
6630 0.000899999984540045
6655 0.0019000000320375
6680 0.00340000004507601
6705 0.00559999980032444
6730 0.0103000001981854
6755 0.0194000005722046
6780 0.034400001168251
6805 0.0560999996960163
6830 0.0838999971747398
6855 0.116400003433228
6880 0.152799993753433
6905 0.19480000436306
6930 0.240799993276596
6955 0.285699993371964
6980 0.323300004005432
7005 0.350300014019012
7030 0.375900000333786
7055 0.398999989032745
7080 0.416200011968613
7105 0.423299998044968
7130 0.416500002145767
7155 0.394300013780594
7180 0.375999987125397
7205 0.382299989461899
7230 0.391799986362457
7255 0.389200001955032
7280 0.38280001282692
7305 0.381999999284744
7330 0.388399988412857
7355 0.387199997901917
7380 0.382099986076355
7405 0.378699988126755
7430 0.375900000333786
7455 0.37270000576973
7480 0.368099987506866
7505 0.361799985170364
7530 0.356499999761581
7555 0.355399996042252
7580 0.347799986600876
7605 0.147300004959106
7630 0.209600001573563
7655 0.264800012111664
7680 0.330000013113022
7705 0.325599998235703
7730 0.322299987077713
7755 0.317900002002716
7780 0.312900006771088
7805 0.307700008153915
7830 0.302599996328354
7855 0.298000007867813
7880 0.294400006532669
7905 0.292100012302399
7930 0.291599988937378
7955 0.292100012302399
7980 0.292699992656708
8005 0.29229998588562
8030 0.289600014686584
8055 0.284000009298325
8080 0.275799989700317
8105 0.264200001955032
8130 0.24269999563694
8155 0.209099993109703
8180 0.16889999806881
8205 0.127599999308586
8230 0.09009999781847
8255 0.0603000000119209
8280 0.0377999991178513
8305 0.0218000002205372
8330 0.0116999996826053
8355 0.00680000009015203
8380 0.00480000022798777
8405 0.00329999998211861
8430 0.0020000000949949
8455 0.00130000000353903
8480 0.00100000004749745
8505 0.000899999984540045
8530 0.000899999984540045
8555 0.0007999999797903
8580 0.000500000023748726
8605 0.000199999994947575
8630 0
