# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 18
# Name = "SDSS z'"
# Description = "SDSS filter z' June 2001 from Jim Gunn"
# UCD = "PHOT_SDSS_Z"
# Version = "1.0"
# DateCreated = 7/17/2003 5:12:18 PM
# DateModified = 7/22/2003 12:47:02 PM
# WavelengthMin = 7780
# WavelengthMax = 11180
# WavelengthEff = 8961.48833667011
# WavelengthScale = Linear
# EffectiveWidth = 1124.58705769379
# Unit = 
# Wavelength Value
7730 0
7755 0
7780 9.99999974737875E-05
7805 9.99999974737875E-05
7830 9.99999974737875E-05
7855 0.000199999994947575
7880 0.000199999994947575
7905 0.000300000014249235
7930 0.000500000023748726
7955 0.000699999975040555
7980 0.00109999999403954
8005 0.00170000002253801
8030 0.00270000007003546
8055 0.00400000018998981
8080 0.00570000009611249
8105 0.00789999961853027
8130 0.0105999996885657
8155 0.0138999996706843
8180 0.0177999995648861
8205 0.0221999995410442
8230 0.0271000005304813
8255 0.0324000008404255
8280 0.0381999984383583
8305 0.044599998742342
8330 0.0511000007390976
8355 0.0564000010490417
8380 0.0603000000119209
8405 0.0636999979615211
8430 0.0666999965906143
8455 0.0693999975919724
8480 0.0716999992728233
8505 0.0736000016331673
8530 0.0751999989151955
8555 0.0764999985694885
8580 0.0775000005960464
8605 0.0781999975442886
8630 0.0785999968647957
8655 0.0786999985575676
8680 0.0785000026226044
8705 0.0780000016093254
8730 0.0772000029683113
8755 0.0763000026345253
8780 0.0750999972224236
8805 0.0737999975681305
8830 0.0723000019788742
8855 0.0707999989390373
8880 0.069300003349781
8905 0.0674000009894371
8930 0.0631999969482422
8955 0.0581000000238419
8980 0.0542999990284443
9005 0.0526000000536442
9030 0.0522999987006187
9055 0.0522000007331371
9080 0.0511999987065792
9105 0.049600001424551
9130 0.0480999983847141
9155 0.0472999997437
9180 0.0476000010967255
9205 0.048200000077486
9230 0.0476000010967255
9255 0.0447000004351139
9280 0.0390999987721443
9305 0.0329000018537045
9330 0.0283000003546476
9355 0.0263999998569489
9380 0.0271000005304813
9405 0.0283000003546476
9430 0.0274999998509884
9455 0.0253999996930361
9480 0.0252000000327826
9505 0.0255999993532896
9530 0.0245999991893768
9555 0.0243999995291233
9580 0.0252000000327826
9605 0.0258000008761883
9630 0.0264999996870756
9655 0.0274000000208616
9680 0.0278999991714954
9705 0.0271000005304813
9730 0.0252000000327826
9755 0.0236000008881092
9780 0.0227000005543232
9805 0.0221999995410442
9830 0.0216000005602837
9855 0.0208000000566244
9880 0.0196000002324581
9905 0.0183000005781651
9930 0.0171000007539988
9955 0.0160000007599592
9980 0.0148999998345971
10005 0.0137999998405576
10030 0.0127999996766448
10055 0.0118000004440546
10080 0.0108000002801418
10105 0.00989999994635582
10130 0.00910000037401915
10155 0.0082999998703599
10180 0.00749999983236194
10205 0.00680000009015203
10230 0.00609999988228083
10255 0.00549999997019768
10280 0.00499999988824129
10305 0.0044999998062849
10330 0.00410000002011657
10355 0.00370000000111759
10380 0.00329999998211861
10405 0.00300000002607703
10430 0.00270000007003546
10455 0.00249999994412065
10480 0.00230000005103648
10505 0.00209999992512167
10530 0.0019000000320375
10555 0.00179999996908009
10580 0.00170000002253801
10605 0.0015999999595806
10630 0.00150000001303852
10655 0.00139999995008111
10680 0.00130000000353903
10705 0.00120000005699694
10730 0.00109999999403954
10755 0.00100000004749745
10780 0.000899999984540045
10805 0.0007999999797903
10830 0.0007999999797903
10855 0.000699999975040555
10880 0.000600000028498471
10905 0.000600000028498471
10930 0.000600000028498471
10955 0.000500000023748726
10980 0.000500000023748726
11005 0.00039999998989515
11030 0.00039999998989515
11055 0.000300000014249235
11080 0.000300000014249235
11105 0.000199999994947575
11130 0.000199999994947575
11155 9.99999974737875E-05
11180 9.99999974737875E-05
11205 0
11230 0
