# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 15
# Name = "SDSS g'"
# Description = "SDSS filter g' June 2001 from Jim Gunn "
# UCD = "PHOT_SDSS_G"
# Version = "1.0"
# DateCreated = 7/17/2003 5:09:35 PM
# DateModified = 7/22/2003 12:46:35 PM
# WavelengthMin = 3655
# WavelengthMax = 5805
# WavelengthEff = 4718.87224631089
# WavelengthScale = Linear
# EffectiveWidth = 1158.37257305446
# Unit = 
# Wavelength Value
3630 0
3655 0.000300000014249235
3680 0.0007999999797903
3705 0.00130000000353903
3730 0.0019000000320375
3755 0.00240000011399388
3780 0.00340000004507601
3805 0.00549999997019768
3830 0.0103000001981854
3855 0.0194000005722046
3880 0.032600000500679
3905 0.0491999983787537
3930 0.0685999989509583
3955 0.0900000035762787
3980 0.112300001084805
4005 0.134200006723404
4030 0.154499992728233
4055 0.172199994325638
4080 0.187299996614456
4105 0.200299993157387
4130 0.211600005626678
4155 0.221399992704391
4180 0.230100005865097
4205 0.237800002098083
4230 0.244800001382828
4255 0.251300007104874
4280 0.257400006055832
4305 0.263300001621246
4330 0.26910001039505
4355 0.274699985980988
4380 0.280099987983704
4405 0.285199999809265
4430 0.289900004863739
4455 0.293999999761581
4480 0.29789999127388
4505 0.301600009202957
4530 0.305500000715256
4555 0.309700012207031
4580 0.314099997282028
4605 0.318399995565414
4630 0.322400003671646
4655 0.325700014829636
4680 0.328399986028671
4705 0.330700010061264
4730 0.33270001411438
4755 0.334600001573563
4780 0.336400002241135
4805 0.338299989700317
4830 0.340299993753433
4855 0.342500001192093
4880 0.344799995422363
4905 0.347200006246567
4930 0.349500000476837
4955 0.351900011301041
4980 0.354099988937378
5005 0.356200009584427
5030 0.35809999704361
5055 0.359699994325638
5080 0.360900014638901
5105 0.361299991607666
5130 0.360900014638901
5155 0.359499990940094
5180 0.35809999704361
5205 0.355800002813339
5230 0.345200002193451
5255 0.319400012493134
5280 0.280699998140335
5305 0.233899995684624
5330 0.183899998664856
5355 0.135199993848801
5380 0.0910999998450279
5405 0.0548000000417233
5430 0.0295000001788139
5455 0.0165999997407198
5480 0.0111999996006489
5505 0.00769999995827675
5530 0.00499999988824129
5555 0.0031999999191612
5580 0.00209999992512167
5605 0.00150000001303852
5630 0.00120000005699694
5655 0.00100000004749745
5680 0.000899999984540045
5705 0.0007999999797903
5730 0.000600000028498471
5755 0.000500000023748726
5780 0.000300000014249235
5805 9.99999974737875E-05
5830 0
