# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 16
# Name = "SDSS r'"
# Description = "SDSS filter r' June 2001 from Jim Gunn"
# UCD = "PHOT_SDSS_R"
# Version = "1.0"
# DateCreated = 7/17/2003 5:10:29 PM
# DateModified = 7/22/2003 12:46:44 PM
# WavelengthMin = 5405
# WavelengthMax = 7205
# WavelengthEff = 6185.19447697684
# WavelengthScale = Linear
# EffectiveWidth = 1111.18008459223
# Unit = 
# Wavelength Value
5380 0
5405 0.00139999995008111
5430 0.00989999994635582
5455 0.025900000706315
5480 0.0496999993920326
5505 0.0807000026106834
5530 0.118600003421307
5555 0.162499994039536
5580 0.209299996495247
5605 0.255499988794327
5630 0.297500014305115
5655 0.332599997520447
5680 0.360900014638901
5705 0.383399993181229
5730 0.400999993085861
5755 0.414700001478195
5780 0.425300002098084
5805 0.433299988508224
5830 0.439500004053116
5855 0.444599986076355
5880 0.448900014162064
5905 0.452699989080429
5930 0.456299990415573
5955 0.459899991750717
5980 0.46340000629425
6005 0.466500014066696
6030 0.468899995088577
6055 0.470299988985062
6080 0.471100002527237
6105 0.471700012683868
6130 0.472699999809265
6155 0.474400013685226
6180 0.476700007915497
6205 0.479200005531311
6230 0.481900006532669
6255 0.484400004148483
6280 0.486699998378754
6305 0.48870000243187
6330 0.490200012922287
6355 0.490900009870529
6380 0.491200000047684
6405 0.491200000047684
6430 0.491200000047684
6455 0.491400003433228
6480 0.491499990224838
6505 0.491200000047684
6530 0.490099996328354
6555 0.487800002098084
6580 0.485199987888336
6605 0.481799989938736
6630 0.469700008630753
6655 0.442099988460541
6680 0.40090000629425
6705 0.349900007247925
6730 0.292400002479553
6755 0.231800004839897
6780 0.171499997377396
6805 0.115199998021126
6830 0.0687000006437302
6855 0.0379999987781048
6880 0.0211999993771315
6905 0.013399999588728
6930 0.00989999994635582
6955 0.00760000012814999
6980 0.00549999997019768
7005 0.00389999989420176
7030 0.00270000007003546
7055 0.0020000000949949
7080 0.00150000001303852
7105 0.00120000005699694
7130 0.00100000004749745
7155 0.000699999975040555
7180 0.00039999998989515
7205 0.000199999994947575
7230 0
