  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -5.00000  M, rc, sigma, rhocen =     1.000000000    0.204000000    0.761047656    9.967724277     b =
        0.00000
     0.000000000    9.967724277    0.000000000   -2.895967675   -0.862900696    1.542002567    1.542272656    1.542137878
     0.037544031    9.452027671    0.002140169   -2.867007999   -0.819346364    1.466494845    1.466330165    1.466416721
     0.053524996    8.961926093    0.006005800   -2.838048322   -0.777929366    1.394394974    1.394217260    1.394388528
     0.066089558    8.496169739    0.010947339   -2.809088645   -0.738549961    1.325811814    1.325992384    1.325873192
     0.076941933    8.053568552    0.016724004   -2.780128968   -0.701105749    1.260694159    1.260811573    1.260699388
     0.086738067    7.632991676    0.023192712   -2.751169292   -0.665500817    1.198741592    1.198596765    1.198704149
     0.095812739    7.233361417    0.030254650   -2.722209615   -0.631647122    1.139719605    1.139642262    1.139732452
     0.104364140    6.853654790    0.037835842   -2.693249938   -0.599460808    1.083617419    1.083618687    1.083636839
     0.112521155    6.492897966    0.045878011   -2.664290261   -0.568857960    1.030285461    1.030188380    1.030277042
     0.120373294    6.150163507    0.054333618   -2.635330585   -0.539762770    0.979498772    0.979947119    0.979519633
     0.127985841    5.824570957    0.063162883   -2.606370908   -0.512101457    0.931257056    0.931095194    0.931237691
     0.135408271    5.515281137    0.072331872   -2.577411231   -0.485802722    0.885319374    0.884751044    0.885310488
     0.142679265    5.221497727    0.081811194   -2.548451554   -0.460802875    0.841604360    0.841363828    0.841623181
     0.149829855    4.942461174    0.091575085   -2.519491878   -0.437036410    0.800078512    0.800382852    0.800066529
     0.156885500    4.677450265    0.101600734   -2.490532201   -0.414443526    0.760553925    0.760841457    0.760536619
     0.163867493    4.425778473    0.111867779   -2.461572524   -0.392967116    0.722946036    0.723002485    0.722934605
     0.170793955    4.186792669    0.122357912   -2.432612847   -0.372553600    0.687136459    0.686809174    0.687166463
     0.177680548    3.959872460    0.133054575   -2.403653171   -0.353151063    0.653145220    0.653160640    0.653142754
     0.184541004    3.744425736    0.143942717   -2.374693494   -0.334707988    0.620797240    0.620773576    0.620778401
     0.191387522    3.539891155    0.155008588   -2.345733817   -0.317180194    0.589971491    0.589956050    0.589992476
     0.198231069    3.345734377    0.166239580   -2.316774140   -0.300522161    0.560705843    0.560711435    0.560707998
     0.205081625    3.161446023    0.177624086   -2.287814464   -0.284690783    0.532858490    0.532971252    0.532851741
     0.211948363    2.986542605    0.189151388   -2.258854787   -0.269646459    0.506345707    0.506412920    0.506354050
     0.218839804    2.820564397    0.200811555   -2.229895110   -0.255350738    0.481161890    0.481212963    0.481148666
     0.225763937    2.663072718    0.212595361   -2.200935433   -0.241766300    0.457176912    0.457198908    0.457172564
     0.232728322    2.513651816    0.224494210   -2.171975757   -0.228860177    0.434349036    0.434490505    0.434365790
     0.239740172    2.371905108    0.236500071   -2.143016080   -0.216597841    0.412685906    0.412558432    0.412671315
     0.246806426    2.237455770    0.248605428   -2.114056403   -0.204947899    0.392035664    0.391964497    0.392034892
     0.253933809    2.109945634    0.260803221   -2.085096726   -0.193881664    0.372392826    0.372337353    0.372404920
     0.261128881    1.989033211    0.273086806   -2.056137049   -0.183369682    0.353730460    0.353790197    0.353732313
     0.268398091    1.874394276    0.285449919   -2.027177373   -0.173385088    0.335973203    0.335994606    0.335970379
     0.275747807    1.765720109    0.297886632   -1.998217696   -0.163901982    0.319080878    0.319190308    0.319074705
     0.283184364    1.662717364    0.310391326   -1.969258019   -0.154896272    0.303002538    0.302934704    0.303003043
     0.290714090    1.565106649    0.322958659   -1.940298342   -0.146344649    0.287713806    0.287641645    0.287715205
     0.298343339    1.472622053    0.335583538   -1.911338666   -0.138224870    0.273171396    0.273213541    0.273172964
     0.306078522    1.385011068    0.348261096   -1.882378989   -0.130515902    0.259337116    0.259333517    0.259339956
     0.313926130    1.302033210    0.360986667   -1.853419312   -0.123197645    0.246185178    0.246152629    0.246181592
     0.321892768    1.223459575    0.373755761   -1.824459635   -0.116250924    0.233664295    0.233734288    0.233664969
     0.329985174    1.149072758    0.386564048   -1.795499959   -0.109658006    0.221760200    0.221657963    0.221758789
     0.338210249    1.078665540    0.399407336   -1.766540282   -0.103401126    0.210435296    0.210427237    0.210433280
     0.346575081    1.012041264    0.412281551   -1.737580605   -0.097464475    0.199654735    0.199601539    0.199660123
     0.355086971    0.949012369    0.425182722   -1.708620928   -0.091832063    0.189411759    0.189397233    0.189412378
     0.363753461    0.889400632    0.438106959   -1.679661252   -0.086489065    0.179666438    0.179707672    0.179664422
     0.372582360    0.833036472    0.451050442   -1.650701575   -0.081421320    0.170395527    0.170423259    0.170391880
     0.381581774    0.779758605    0.464009399   -1.621741898   -0.076615522    0.161574627    0.161575642    0.161571565
     0.390760134    0.729413518    0.476980093   -1.592782221   -0.072058926    0.153178064    0.153154678    0.153181422
     0.400126228    0.681855124    0.489958803   -1.563822545   -0.067739525    0.145198142    0.145202346    0.145200470
     0.409689234    0.636944566    0.502941811   -1.534862868   -0.063645339    0.137612245    0.137604659    0.137608755
     0.419458757    0.594549564    0.515925384   -1.505903191   -0.059765662    0.130383875    0.130400367    0.130387291
     0.429444865    0.554544464    0.528905757   -1.476943514   -0.056090104    0.123516584    0.123493462    0.123518023
     0.439658131    0.516809465    0.541879118   -1.447983838   -0.052608423    0.116984711    0.116986529    0.116983773
     0.450109676    0.481230808    0.554841591   -1.419024161   -0.049311369    0.110769488    0.110750172    0.110768202
     0.460811217    0.447700159    0.567789214   -1.390064484   -0.046189791    0.104858309    0.104884183    0.104855768
     0.471775118    0.416114348    0.580717929   -1.361104807   -0.043235296    0.099231689    0.099229109    0.099231686
     0.483014447    0.386375301    0.593623554   -1.332145131   -0.040439699    0.093880319    0.093868330    0.093881895
     0.494543037    0.358389781    0.606501772   -1.303185454   -0.037795260    0.088792998    0.088805614    0.088793016
     0.506375553    0.332068795    0.619348104   -1.274225777   -0.035294495    0.083951258    0.083964606    0.083952324
     0.518527568    0.307327919    0.632157889   -1.245266100   -0.032930545    0.079349015    0.079344136    0.079347716
     0.531015638    0.284086639    0.644926263   -1.216306424   -0.030696519    0.074967733    0.074950942    0.074967677
     0.543857400    0.262268465    0.657648131   -1.187346747   -0.028586428    0.070797235    0.070791303    0.070801255
     0.557071663    0.241800440    0.670318148   -1.158387070   -0.026593910    0.066842024    0.066846049    0.066838032
     0.570678526    0.222613254    0.682930682   -1.129427393   -0.024713249    0.063066294    0.063068986    0.063068097
     0.584699490    0.204640929    0.695479791   -1.100467717   -0.022939319    0.059480372    0.059472868    0.059482025
     0.599157604    0.187820500    0.707959191   -1.071508040   -0.021266457    0.056073302    0.056080968    0.056070847
     0.614077609    0.172092232    0.720362217   -1.042548363   -0.019690050    0.052825748    0.052819971    0.052826034
     0.629486111    0.157399109    0.732681795   -1.013588686   -0.018205272    0.049738959    0.049734891    0.049739473
     0.645411770    0.143686928    0.744910393   -0.984629010   -0.016807749    0.046802604    0.046803301    0.046803445
     0.661885516    0.130904043    0.757039987   -0.955669333   -0.015493092    0.044011621    0.044008239    0.044010609
     0.678940785    0.119001242    0.769062011   -0.926709656   -0.014257346    0.041353108    0.041348028    0.041353981
     0.696613800    0.107931702    0.780967304   -0.897749979   -0.013096657    0.038828226    0.038821027    0.038826919
     0.714943871    0.097650797    0.792746065   -0.868790303   -0.012007286    0.036422854    0.036428725    0.036423102
     0.733973753    0.088116051    0.804387790   -0.839830626   -0.010985928    0.034135663    0.034143393    0.034136522
     0.753750045    0.079286903    0.815881209   -0.810870949   -0.010029073    0.031962213    0.031973937    0.031961459
     0.774323647    0.071124808    0.827214222   -0.781911272   -0.009133699    0.029892219    0.029890712    0.029892475
     0.795750288    0.063592919    0.838373828   -0.752951596   -0.008296746    0.027924683    0.027926853    0.027924396
     0.818091134    0.056656210    0.849346042   -0.723991919   -0.007515399    0.026052520    0.026061065    0.026052302
     0.841413482    0.050281208    0.860115822   -0.695032242   -0.006786924    0.024271210    0.024283911    0.024271512
     0.865791582    0.044435994    0.870666976   -0.666072565   -0.006108786    0.022576902    0.022578391    0.022577571
     0.891307573    0.039090141    0.880982076   -0.637112889   -0.005478478    0.020966070    0.020960343    0.020966245
     0.918052599    0.034214562    0.891042363   -0.608153212   -0.004893686    0.019433882    0.019434758    0.019433504
     0.946128098    0.029781506    0.900827654   -0.579193535   -0.004352162    0.017976128    0.017971395    0.017975515
     0.975647341    0.025764448    0.910316250   -0.550233858   -0.003851845    0.016588266    0.016586050    0.016588634
     1.006737240    0.022138057    0.919484855   -0.521274182   -0.003390713    0.015269552    0.015273312    0.015269392
     1.039540510    0.018878077    0.928308497   -0.492314505   -0.002966825    0.014014859    0.014017913    0.014014489
     1.074218248    0.015961291    0.936760484   -0.463354828   -0.002578403    0.012820065    0.012822570    0.012820790
     1.110953040    0.013365470    0.944812390   -0.434395151   -0.002223718    0.011685025    0.011686656    0.011685307
     1.149952712    0.011069254    0.952434101   -0.405435475   -0.001901076    0.010605693    0.010602254    0.010605203
     1.191454898    0.009052188    0.959593937   -0.376475798   -0.001608945    0.009577928    0.009572455    0.009577776
     1.235732615    0.007294563    0.966258913   -0.347516121   -0.001345842    0.008600570    0.008603116    0.008600457
     1.283101140    0.005777397    0.972395175   -0.318556444   -0.001110349    0.007670578    0.007673277    0.007670803
     1.333926507    0.004482386    0.977968705   -0.289596768   -0.000901125    0.006786365    0.006787268    0.006786488
     1.388636117    0.003391767    0.982946423   -0.260637091   -0.000716869    0.005945468    0.005947564    0.005945302
     1.447732033    0.002488334    0.987297829   -0.231677414   -0.000556378    0.005144918    0.005146366    0.005145141
     1.511807772    0.001755276    0.990997447   -0.202717737   -0.000418496    0.004383970    0.004385886    0.004384004
     1.581569661    0.001176108    0.994028375   -0.173758061   -0.000302104    0.003660073    0.003660051    0.003659989
     1.657864136    0.000734538    0.996387360   -0.144798384   -0.000206167    0.002971362    0.002971242    0.002971284
     1.741712902    0.000414282    0.998091858   -0.115838707   -0.000129679    0.002316348    0.002318030    0.002316168
     1.834358455    0.000198865    0.999189570   -0.086879030   -0.000071701    0.001692923    0.001694544    0.001693002
     1.937323425    0.000071121    0.999770098   -0.057919354   -0.000031330    0.001100155    0.001101428    0.001100228
     2.052488667    0.000012389    0.999975953   -0.028959677   -0.000007701    0.000536305    0.000538750    0.000536364
     2.182197937    0.000000000    1.000000000    0.000000000    0.000000000    0.000000191    0.000000000    0.000000000
