#  Analytical solution of Radius vs. Time for a collapsing hom sphere
#  nemoinp 0:pi:0.001 | tabmath - - "(%1+sin(%1))/(2*pi*sqrt(8/3)),0.5*(1+cos(%1))" all > iau25-tr.tab

#  Time    Radius
0.0436734 0.987397 
0.0438658 0.987285 
0.0440583 0.987173 
0.0442507 0.98706 
0.0444431 0.986947 
0.0446355 0.986833 
0.0448278 0.986719 
0.0450201 0.986604 
0.0452124 0.986489 
0.0454047 0.986373 
0.045597 0.986257 
0.0457892 0.986141 
0.0459814 0.986023 
0.0461736 0.985906 
0.0463658 0.985788 
0.0465579 0.985669 
0.04675 0.98555 
0.0469421 0.98543 
0.0471342 0.98531 
0.0473262 0.98519 
0.0475183 0.985069 
0.0477103 0.984947 
0.0479022 0.984825 
0.0480942 0.984703 
0.0482861 0.98458 
0.048478 0.984456 
0.0486699 0.984332 
0.0488618 0.984208 
0.0490536 0.984083 
0.0492454 0.983958 
0.0494372 0.983832 
0.049629 0.983705 
0.0498207 0.983578 
0.0500124 0.983451 
0.0502041 0.983323 
0.0503958 0.983195 
0.0505874 0.983066 
0.050779 0.982937 
0.0509706 0.982807 
0.0511621 0.982677 
0.0513537 0.982546 
0.0515452 0.982415 
0.0517367 0.982283 
0.0519281 0.982151 
0.0521196 0.982019 
0.052311 0.981885 
0.0525024 0.981752 
0.0526937 0.981618 
0.052885 0.981483 
0.0530763 0.981348 
0.0532676 0.981213 
0.0534589 0.981077 
0.0536501 0.98094 
0.0538413 0.980803 
0.0540324 0.980666 
0.0542236 0.980528 
0.0544147 0.980389 
0.0546058 0.98025 
0.0547969 0.980111 
0.0549879 0.979971 
0.0551789 0.979831 
0.0553699 0.97969 
0.0555608 0.979549 
0.0557517 0.979407 
0.0559426 0.979265 
0.0561335 0.979122 
0.0563244 0.978979 
0.0565152 0.978835 
0.056706 0.978691 
0.0568967 0.978546 
0.0570874 0.978401 
0.0572781 0.978255 
0.0574688 0.978109 
0.0576595 0.977963 
0.0578501 0.977816 
0.0580407 0.977668 
0.0582312 0.97752 
0.0584217 0.977372 
0.0586122 0.977223 
0.0588027 0.977073 
0.0589931 0.976923 
0.0591836 0.976773 
0.0593739 0.976622 
0.0595643 0.976471 
0.0597546 0.976319 
0.0599449 0.976167 
0.0601352 0.976014 
0.0603254 0.975861 
0.0605156 0.975707 
0.0607058 0.975553 
0.0608959 0.975398 
0.061086 0.975243 
0.0612761 0.975087 
0.0614662 0.974931 
0.0616562 0.974775 
0.0618462 0.974618 
0.0620362 0.97446 
0.0622261 0.974302 
0.062416 0.974144 
0.0626058 0.973985 
0.0627957 0.973825 
0.0629855 0.973665 
0.0631753 0.973505 
0.063365 0.973344 
0.0635547 0.973183 
0.0637444 0.973021 
0.0639341 0.972859 
0.0641237 0.972696 
0.0643133 0.972533 
0.0645028 0.972369 
0.0646923 0.972205 
0.0648818 0.972041 
0.0650713 0.971875 
0.0652607 0.97171 
0.0654501 0.971544 
0.0656395 0.971377 
0.0658288 0.97121 
0.0660181 0.971043 
0.0662074 0.970875 
0.0663966 0.970707 
0.0665858 0.970538 
