  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -1.00000  M, rc, sigma, rhocen =     1.000000000    0.649600000    1.462347989    3.629460527     b =
        0.00000
     0.000000000    3.629460527    0.000000000   -2.138461642   -0.276027753    0.308037718    0.311987445    0.308787856
     0.053266526    3.527593562    0.002258805   -2.117077025   -0.269483644    0.303906364    0.303073598    0.303927248
     0.075655131    3.427730411    0.006361469   -2.095692409   -0.263033969    0.299205716    0.300438802    0.299115003
     0.093061138    3.329843221    0.011636286   -2.074307792   -0.256688836    0.294225732    0.295459532    0.294350641
     0.107928877    3.233908950    0.017837281   -2.052923176   -0.250447370    0.289637104    0.288672122    0.289633685
     0.121201628    3.139903696    0.024819081   -2.031538560   -0.244302559    0.284868872    0.285166529    0.284963664
     0.133361664    3.047802754    0.032481433   -2.010153943   -0.238261768    0.280378312    0.278831203    0.280340110
     0.144694743    2.957580679    0.040749122   -1.988769327   -0.232310422    0.275968017    0.275862169    0.275762562
     0.155386682    2.869215313    0.049562595   -1.967384710   -0.226461895    0.271127417    0.270562260    0.271230561
     0.165566372    2.782681094    0.058872890   -1.946000094   -0.220711055    0.266771581    0.265505268    0.266743653
     0.175327596    2.697957029    0.068638609   -1.924615477   -0.215052929    0.262324579    0.260373553    0.262301392
     0.184741156    2.615018781    0.078823988   -1.903230861   -0.209491151    0.257945234    0.259696218    0.257903331
     0.193862111    2.533842673    0.089397594   -1.881846245   -0.204021950    0.253405856    0.254454803    0.253549033
     0.202734325    2.454406938    0.100331409   -1.860461628   -0.198650822    0.249196957    0.248008155    0.249238060
     0.211393468    2.376689154    0.111600165   -1.839077012   -0.193363008    0.245125459    0.243677510    0.244969982
     0.219869052    2.300663830    0.123180845   -1.817692395   -0.188170044    0.240626095    0.238993477    0.240744372
     0.228185873    2.226313583    0.135052306   -1.796307779   -0.183068893    0.236508445    0.236371431    0.236560807
     0.236365039    2.153613032    0.147194980   -1.774923163   -0.178054028    0.232493286    0.231533938    0.232418870
     0.244424742    2.082541197    0.159590634   -1.753538546   -0.173126118    0.228368102    0.228316219    0.228318146
     0.252380828    2.013075377    0.172222186   -1.732153930   -0.168286860    0.224248563    0.223544773    0.224258224
     0.260247236    1.945195962    0.185073544   -1.710769313   -0.163533611    0.220348994    0.219575466    0.220238700
     0.268036344    1.878881657    0.198129485   -1.689384697   -0.158864171    0.216243432    0.216210600    0.216259170
     0.275759235    1.814109588    0.211375537   -1.668000080   -0.154284936    0.212153248    0.213117346    0.212319238
     0.283425912    1.750859975    0.224797898   -1.646615464   -0.149786874    0.208577139    0.208357938    0.208418508
     0.291045474    1.689111492    0.238383344   -1.625230848   -0.145368619    0.204388304    0.204061818    0.204556591
     0.298626254    1.628844727    0.252119183   -1.603846231   -0.141041115    0.200792659    0.202834587    0.200733101
     0.306175939    1.570035484    0.265993180   -1.582461615   -0.136781712    0.197079065    0.197440376    0.196947656
     0.313701667    1.512669287    0.279993512   -1.561076998   -0.132614215    0.193082000    0.192284375    0.193199876
     0.321210104    1.456721425    0.294108724   -1.539692382   -0.128520479    0.189542794    0.189502877    0.189489387
     0.328707519    1.402173586    0.308327694   -1.518307766   -0.124508931    0.185818980    0.186349451    0.185815818
     0.336199839    1.349006142    0.322639589   -1.496923149   -0.120572792    0.182144572    0.181845166    0.182178802
     0.343692700    1.297199311    0.337033843   -1.475538533   -0.116718262    0.178538249    0.178943225    0.178577975
     0.351191493    1.246733197    0.351500124   -1.454153916   -0.112935755    0.175085262    0.174833771    0.175012976
     0.358701399    1.197587843    0.366028306   -1.432769300   -0.109231135    0.171473064    0.171541002    0.171483450
     0.366227426    1.149745319    0.380608458   -1.411384683   -0.105601227    0.167967037    0.166536270    0.167989043
     0.373774439    1.103186637    0.395230812   -1.390000067   -0.102047046    0.164498586    0.162145997    0.164529407
     0.381347184    1.057891847    0.409885740   -1.368615451   -0.098565538    0.161059661    0.162438082    0.161104194
     0.388950315    1.013843116    0.424563754   -1.347230834   -0.095158311    0.157667914    0.155786458    0.157713062
     0.396588415    0.971022705    0.439255470   -1.325846218   -0.091821529    0.154370563    0.155842594    0.154355673
     0.404266020    0.929409144    0.453951602   -1.304461601   -0.088555136    0.151194484    0.151333182    0.151031691
     0.411987632    0.888985165    0.468642949   -1.283076985   -0.085357636    0.147656595    0.148226428    0.147740782
     0.419757742    0.849734700    0.483320381   -1.261692369   -0.082237883    0.144412473    0.145867356    0.144482619
     0.427580844    0.811638179    0.497974821   -1.240307752   -0.079179015    0.141478401    0.141863039    0.141256875
     0.435461454    0.774676501    0.512597238   -1.218923136   -0.076191038    0.137972308    0.137029975    0.138063228
     0.443404123    0.738832934    0.527178637   -1.197538519   -0.073275154    0.134871852    0.134997458    0.134901358
     0.451413455    0.704089423    0.541710039   -1.176153903   -0.070422554    0.131788014    0.133380665    0.131770949
     0.459494119    0.670429451    0.556182492   -1.154769286   -0.067639115    0.128643432    0.126444792    0.128671688
     0.467650867    0.637834468    0.570587038   -1.133384670   -0.064920085    0.125567226    0.126100107    0.125603266
     0.475888549    0.606286750    0.584914707   -1.112000054   -0.062268083    0.122577665    0.123878659    0.122565374
     0.484212126    0.575769460    0.599156520   -1.090615437   -0.059677120    0.119645997    0.119760476    0.119557711
     0.492626686    0.546266716    0.613303480   -1.069230821   -0.057151878    0.116579401    0.117233307    0.116579974
     0.501137462    0.517758490    0.627346547   -1.047846204   -0.054690455    0.113604496    0.113689626    0.113631866
     0.509749849    0.490231177    0.641276653   -1.026461588   -0.052293262    0.110606916    0.111334267    0.110713092
     0.518469418    0.463664748    0.655084677   -1.005076972   -0.049958291    0.107832578    0.107032184    0.107823360
     0.527301935    0.438044916    0.668761439   -0.983692355   -0.047681919    0.104977760    0.105467272    0.104962382
     0.536253383    0.413353086    0.682297706   -0.962307739   -0.045468813    0.102075218    0.102446295    0.102129871
     0.545329977    0.389574928    0.695684164   -0.940923122   -0.043314480    0.099419609    0.100120538    0.099325544
     0.554538190    0.366690631    0.708911456   -0.919538506   -0.041217753    0.096618032    0.098030142    0.096549120
     0.563884774    0.344687414    0.721970115   -0.898153889   -0.039182850    0.093725481    0.093696567    0.093800322
     0.573376781    0.323546692    0.734850604   -0.876769273   -0.037207840    0.091021727    0.090921563    0.091078876
     0.583021593    0.303252477    0.747543296   -0.855384657   -0.035288615    0.088501077    0.088403448    0.088384508
     0.592826950    0.283788404    0.760038480   -0.834000040   -0.033425146    0.085639658    0.085012759    0.085716949
     0.602800975    0.265139591    0.772326344   -0.812615424   -0.031624000    0.083040964    0.082426342    0.083075934
     0.612952211    0.247287548    0.784396986   -0.791230807   -0.029872564    0.080580325    0.081198033    0.080461196
     0.623289657    0.230218289    0.796240396   -0.769846191   -0.028179489    0.077860409    0.076729510    0.077872476
     0.633822800    0.213915020    0.807846477   -0.748461575   -0.026541207    0.075326637    0.074732118    0.075309514
     0.644561663    0.198360964    0.819205055   -0.727076958   -0.024958524    0.072695097    0.073019972    0.072772054
     0.655516846    0.183542066    0.830305846   -0.705692342   -0.023430995    0.070217628    0.070248907    0.070259842
     0.666699575    0.169441616    0.841138497   -0.684307725   -0.021954851    0.067812857    0.068311585    0.067772627
     0.678121760    0.156043186    0.851692556   -0.662923109   -0.020531380    0.065311465    0.064987055    0.065310160
