  nrad, njump, ngauss =          501           5          48
 King model; w0 =   -5.00000  M, rc, sigma, rhocen =     1.000000000    0.204000000    0.761047671    9.967724670     b =
        4.90200
     0.000000000    9.967724670    0.000000000   -2.895967790   -0.548755868    0.299528448    0.299640727    1.542137905
     0.037544031    9.452028063    0.002140169   -2.867008112   -0.540095214    0.298517468    0.298259688    1.466416746
     0.053524995    8.961926856    0.006005800   -2.838048434   -0.531470111    0.297073263    0.296468532    1.394388553
     0.066089557    8.496170374    0.010947339   -2.809088756   -0.522891335    0.295379063    0.295520796    1.325873215
     0.076941932    8.053569096    0.016724004   -2.780129078   -0.514362593    0.293617830    0.293670048    1.260699410
     0.086738066    7.632992145    0.023192712   -2.751169400   -0.505887144    0.291653181    0.291582979    1.198704169
     0.095812738    7.233361932    0.030254651   -2.722209722   -0.497472837    0.289418308    0.289417149    1.139732472
     0.104364138    6.853655089    0.037835843   -2.693250044   -0.489124761    0.287127589    0.287283418    1.083636858
     0.112521153    6.492898226    0.045878012   -2.664290366   -0.480844370    0.284652683    0.284711224    1.030277060
     0.120373292    6.150163846    0.054333619   -2.635330689   -0.472638968    0.282063097    0.282629233    0.979519650
     0.127985839    5.824571138    0.063162885   -2.606371011   -0.464508421    0.279373647    0.279043264    0.931237707
     0.135408269    5.515281581    0.072331874   -2.577411333   -0.456458864    0.276576655    0.276017253    0.885310503
     0.142679263    5.221498077    0.081811196   -2.548451655   -0.448490052    0.273699626    0.273246150    0.841623195
     0.149829853    4.942461487    0.091575087   -2.519491977   -0.440606923    0.270764113    0.271171514    0.800066543
     0.156885498    4.677450559    0.101600737   -2.490532299   -0.432808024    0.267781480    0.268169912    0.760536632
     0.163867491    4.425778714    0.111867782   -2.461572621   -0.425098618    0.264651069    0.264909032    0.722934617
     0.170793953    4.186793027    0.122357915   -2.432612943   -0.417479502    0.261531305    0.261595198    0.687166475
     0.177680546    3.959872567    0.133054579   -2.403653265   -0.409950935    0.258407309    0.258560727    0.653142765
     0.184541002    3.744426027    0.143942721   -2.374693588   -0.402512945    0.255259719    0.254735816    0.620778412
     0.191387519    3.539891407    0.155008592   -2.345733910   -0.395167425    0.252011712    0.252102299    0.589992486
     0.198231067    3.345734507    0.166239584   -2.316774232   -0.387916343    0.248789142    0.248650586    0.560708008
     0.205081623    3.161446151    0.177624091   -2.287814554   -0.380757570    0.245581933    0.245740560    0.532851751
     0.211948361    2.986542881    0.189151393   -2.258854876   -0.373692706    0.242342543    0.242465012    0.506354059
     0.218839801    2.820564528    0.200811561   -2.229895198   -0.366720893    0.239139752    0.239405281    0.481148675
     0.225763934    2.663072941    0.212595367   -2.200935520   -0.359842109    0.235913877    0.236198488    0.457172572
     0.232728319    2.513651927    0.224494215   -2.171975842   -0.353056808    0.232698884    0.232784077    0.434365797
     0.239740169    2.371905197    0.236500077   -2.143016164   -0.346363692    0.229550947    0.229257899    0.412671322
     0.246806424    2.237455979    0.248605434   -2.114056486   -0.339761682    0.226370213    0.226525746    0.392034899
     0.253933806    2.109945723    0.260803227   -2.085096809   -0.333252163    0.223221813    0.223220232    0.372404926
     0.261128878    1.989033399    0.273086813   -2.056137131   -0.326832103    0.220147550    0.220516553    0.353732319
     0.268398087    1.874394357    0.285449926   -2.027177453   -0.320501249    0.217084619    0.217091364    0.335970385
     0.275747804    1.765720270    0.297886639   -1.998217775   -0.314258350    0.214058114    0.214236730    0.319074711
     0.283184361    1.662717476    0.310391334   -1.969258097   -0.308102731    0.211074139    0.211024147    0.303003048
     0.290714087    1.565106707    0.322958667   -1.940298419   -0.302032472    0.208152264    0.207998326    0.287715210
     0.298343336    1.472622155    0.335583546   -1.911338741   -0.296046517    0.205247844    0.205324802    0.273172968
     0.306078518    1.385011183    0.348261105   -1.882379063   -0.290144421    0.202367049    0.202413870    0.259339960
     0.313926127    1.302033236    0.360986676   -1.853419385   -0.284324185    0.199627441    0.199764774    0.246181596
     0.321892765    1.223459604    0.373755770   -1.824459707   -0.278582254    0.196874853    0.197182423    0.233664973
     0.329985171    1.149072837    0.386564057   -1.795500030   -0.272920714    0.194185146    0.193907522    0.221758793
     0.338210245    1.078665636    0.399407346   -1.766540352   -0.267334260    0.191590265    0.191343797    0.210433283
     0.346575077    1.012041325    0.412281561   -1.737580674   -0.261824085    0.188979195    0.188908663    0.199660126
     0.355086967    0.949012418    0.425182732   -1.708620996   -0.256387425    0.186500907    0.186381666    0.189412382
     0.363753457    0.889400653    0.438106970   -1.679661318   -0.251021422    0.184090013    0.184028948    0.179664426
     0.372582356    0.833036539    0.451050454   -1.650701640   -0.245724833    0.181701601    0.181906872    0.170391883
